210,,,,,佛子庄乡,3,521070,482700
211,,,,,大安山乡,3,655468,-987140
212,,,,,史家营乡,3,-264578,-1153590
213,,,,,蒲洼乡,3,-1207431,-1298210
110112,,北京市,市辖区,通州区,,2,732344,11907783
001,,,,,中仓街道办事处,3,944282,-548803
002,,,,,新华街道办事处,3,69050,-133790
003,,,,,北苑街道办事处,3,-95870,-215860
004,,,,,玉桥街道办事处,3,-104700,348190
005,,,,,永顺地区办事处,3,241839,-262281
006,,,,,梨园地区办事处,3,-513399,72901
104,,,,,宋庄镇,3,741675,642240
105,,,,,张家湾镇,3,-823680,-70200
106,,,,,漷县镇,3,-785811,732850
109,,,,,马驹桥镇,3,-305869,-2325300
110,,,,,西集镇,3,677320,3203800
114,,,,,台湖镇,3,151390,-2294740
117,,,,,永乐店镇,3,-1232620,1444400
119,,,,,潞城镇,3,2070658,-675570
209,,,,,于家务回族乡,3,-1970128,-252410
110113,,北京市,市辖区,顺义区,,2,4409125,217859
001,,,,,胜利街道办事处,3,-362460,-723369
002,,,,,光明街道办事处,3,69050,106490
003,,,,,仁和地区办事处,3,-129288,-103377
004,,,,,后沙峪地区办事处,3,-127783,-1095913
005,,,,,天竺地区办事处,3,-460249,325900
006,,,,,杨镇地区办事处,3,947530,2544400
007,,,,,牛栏山地区办事处,3,572800,-2006840
008,,,,,南法信地区办事处,3,-917350,-193590
009,,,,,马坡地区办事处,3,516944,471532
010,,,,,石园街道办事处,3,-582074,21048
011,,,,,空港街道办事处,3,-112560,-1044480
012,,,,,双丰街道办事处,3,664250,1066810
013,,,,,旺泉街道办事处,3,-433030,-206710
101,,,,,高丽营镇,3,226075,-906960
104,,,,,李桥镇,3,-867981,936300
105,,,,,李遂镇,3,307821,1126300
106,,,,,南彩镇,3,431160,-460570
108,,,,,北务镇,3,-638630,1174170
109,,,,,大孙各庄镇,3,170120,908630
110,,,,,张镇,3,644540,316470
111,,,,,龙湾屯镇,3,803260,-933050
112,,,,,木林镇,3,137319,-769750
113,,,,,北小营镇,3,-458071,-521490
115,,,,,北石槽镇,3,505322,-1942730
116,,,,,赵全营镇,3,-364630,699170
110114,,北京市,市辖区,昌平区,,2,8575,-4292044
001,,,,,城北街道办事处,3,15070,758264
002,,,,,南口地区办事处,3,303540,-1159710
003,,,,,马池口地区办事处,3,-621480,318000
004,,,,,沙河地区办事处,3,-351115,1233833
005,,,,,城南街道办事处,3,631625,-353733
006,,,,,回龙观地区办事处,3,-1319987,919196
007,,,,,东小口地区办事处,3,-224761,620263
008,,,,,天通苑北街道办事处,3,47525,187905
009,,,,,天通苑南街道办事处,3,0,0
010,,,,,霍营街道办事处,3,206613,-613464
104,,,,,阳坊镇,3,550375,-2268720
110,,,,,小汤山镇,3,387709,2605700
111,,,,,南邵镇,3,304210,-1136570
112,,,,,崔村镇,3,127669,668050
113,,,,,百善镇,3,-532729,-326870
115,,,,,北七家镇,3,-493020,1042510
116,,,,,兴寿镇,3,964711,-150690
118,,,,,流村镇,3,-317120,-3448920
119,,,,,十三陵镇,3,899540,1604160
120,,,,,延寿镇,3,224649,260870
110115,,北京市,市辖区,大兴区,,2,-6577882,2201130
001,,,,,兴丰街道办事处,3,945766,-1293081
002,,,,,林校路街道办事处,3,-77668,-97409
003,,,,,清源街道办事处,3,277400,63110
004,,,,,亦庄地区办事处,3,483108,1432570
005,,,,,黄村地区办事处,3,-573078,-1414630
006,,,,,旧宫地区办事处,3,621720,1053570
007,,,,,西红门地区办事处,3,-167852,-1132331
008,,,,,瀛海地区办事处,3,-321714,1198278
009,,,,,观音寺街道办事处,3,-135382,-1064442
010,,,,,天宫院街道办事处,3,-405179,-182544
103,,,,,青云店镇,3,-165008,1740369
104,,,,,采育镇,3,-331561,1650200
105,,,,,安定镇,3,-347599,-1667110
106,,,,,礼贤镇,3,-606981,-643480
107,,,,,榆垡镇,3,-356234,-1095240
108,,,,,庞各庄镇,3,1134494,-18080
109,,,,,北臧村镇,3,515250,-216310
110,,,,,魏善庄镇,3,-547960,1120570
111,,,,,长子营镇,3,534880,1813920
403,,,,,北京经济技术开发区,3,1189326,-925570
404,,,,,中关村国家自主创新示范区大兴生物医药产业基地,3,-1074110,-1844410
405,,,,,国家新媒体产业基地,3,627769,286860
110116,,北京市,市辖区,怀柔区,,2,8879799,2376424
001,,,,,泉河街道办事处,3,-3260104,485576
002,,,,,龙山街道办事处,3,-55329,34525
003,,,,,怀柔地区办事处,3,-230196,-24305
004,,,,,雁栖地区办事处,3,0,0
005,,,,,庙城地区办事处,3,0,0
102,,,,,北房镇,3,336095,678850
103,,,,,杨宋镇,3,-346849,-172800
105,,,,,桥梓镇,3,-11110,-1115150
106,,,,,怀北镇,3,984550,1152430
107,,,,,汤河口镇,3,3481070,-440320
108,,,,,渤海镇,3,-3217481,-1780710
109,,,,,九渡河镇,3,-535140,26430
110,,,,,琉璃庙镇,3,2663001,1805770
111,,,,,宝山镇,3,666800,-805070
211,,,,,长哨营满族乡,3,997170,1791460
213,,,,,喇叭沟门满族乡,3,1079669,-1271280
400,,,,,北京雁栖经济开发区,3,-5391234,443000
110117,,北京市,市辖区,平谷区,,2,-1596178,5023391
001,,,,,滨河街道办事处,3,-686142,-534841
002,,,,,兴谷街道办事处,3,210413,37747
003,,,,,渔阳地区办事处,3,-162355,-182931
004,,,,,峪口地区办事处,3,439823,-917988
005,,,,,马坊地区办事处,3,-1028001,23582
006,,,,,金海湖地区办事处,3,987630,2554900
101,,,,,东高村镇,3,-766845,-1525390
102,,,,,山东庄镇,3,849848,444760
104,,,,,南独乐河镇,3,-158548,684000
105,,,,,大华山镇,3,1053269,-1613190
106,,,,,夏各庄镇,3,-1414100,768090
108,,,,,马昌营镇,3,-19320,-1204280
110,,,,,王辛庄镇,3,265511,818200
111,,,,,大兴庄镇,3,-155940,-618710
112,,,,,刘家店镇,3,949130,-199320
114,,,,,镇罗营镇,3,1048890,1274410
213,,,,,黄松峪乡,3,-1194600,1152280
214,,,,,熊儿寨乡,3,593929,-1305570
1102,,北京市,县,,,1,-3460946,-7366931
110228,,北京市,县,密云县,,2,5717137,6927379
001,,,,,鼓楼街道办事处,3,-1416345,-2496533
002,,,,,果园街道办事处,3,96630,-59545
003,,,,,檀营地区办事处,3,120164,344735
100,,,,,密云镇,3,-219121,-282695
101,,,,,溪翁庄镇,3,1060722,133310
102,,,,,西田各庄镇,3,-738990,-829120
103,,,,,十里堡镇,3,-421720,301450
104,,,,,河南寨镇,3,-274380,258430
105,,,,,巨各庄镇,3,503640,1208970
106,,,,,穆家峪镇,3,300710,-45020
107,,,,,太师屯镇,3,1262799,1849160
108,,,,,高岭镇,3,662260,-174440
109,,,,,不老屯镇,3,-370859,-1335450
110,,,,,冯家峪镇,3,530670,-1017330
111,,,,,古北口镇,3,719530,2880320
112,,,,,大城子镇,3,-2992330,-541530
113,,,,,东邵渠镇,3,-988750,-1420480
114,,,,,北庄镇,3,2154310,2133350
115,,,,,新城子镇,3,1345510,1537610
116,,,,,石城镇,3,-1025341,-5145370
400,,,,,北京密云经济开发区,3,-1895514,-29600
110229,,北京市,县,延庆县,,2,1767618,-6621576
001,,,,,百泉街道办事处,3,-779924,-1729974
002,,,,,香水园街道办事处,3,65118,-19656
003,,,,,儒林街道办事处,3,-11702,-94404
100,,,,,延庆镇,3,25805,143130
101,,,,,康庄镇,3,-761261,-848360
102,,,,,八达岭镇,3,-204360,777800
103,,,,,永宁镇,3,1669560,1850360
104,,,,,旧县镇,3,219449,-756210
105,,,,,张山营镇,3,-740598,-2430960
106,,,,,四海镇,3,546580,5690900
107,,,,,千家店镇,3,1622329,-663640
108,,,,,沈家营镇,3,-2121929,-3013570
109,,,,,大榆树镇,3,-459980,-163700
110,,,,,井庄镇,3,326530,742950
207,,,,,大庄科乡,3,-361190,1320810
209,,,,,刘斌堡乡,3,1355460,-95720
210,,,,,香营乡,3,34470,-804520
214,,,,,珍珠泉乡,3,-107951,2798710
12,,天津市,,,,0,-14353277,8700762
1201,,天津市,市辖区,,,1,0,0
120101,,天津市,市辖区,和平区,,2,-60151,-946332
001,,,,,劝业场街道,3,48452,-28453
002,,,,,小白楼街道,3,-48703,139983
003,,,,,体育馆街道,3,-86231,-116980
004,,,,,新兴街道,3,-48779,-140210
005,,,,,南营门街道,3,105085,52660
006,,,,,南市街道,3,156673,-70813
120102,,天津市,市辖区,河东区,,2,-109040,720672
001,,,,,大王庄街道,3,59152,-344209
002,,,,,大直沽街道,3,-169581,244620
003,,,,,中山门街道,3,-72339,236720
004,,,,,富民路街道,3,-137190,-141630
005,,,,,二号桥街道,3,86495,360970
006,,,,,春华街道,3,426245,-839180
007,,,,,唐家口街道,3,-113441,329130
008,,,,,向阳楼街道,3,59001,38210
009,,,,,常州道街道,3,122038,-52390
010,,,,,上杭路街道,3,-186509,208060
011,,,,,东新街道,3,145301,162220
012,,,,,鲁山道街道,3,156805,-67220
013,,,,,天津铁厂街道,3,-196890,53710
120103,,天津市,市辖区,河西区,,2,-549473,-397277
001,,,,,大营门街道,3,253518,-212543
002,,,,,下瓦房街道,3,-29520,106760
003,,,,,桃园街道,3,-41971,-115210
004,,,,,挂甲寺街道,3,-38949,80700
005,,,,,马场街道,3,-26031,-329470
006,,,,,越秀路街道,3,16341,251650
007,,,,,友谊路街道,3,-91043,-91366
008,,,,,天塔街道,3,-63788,-195634
009,,,,,尖山街道,3,-56290,457010
010,,,,,陈塘庄街道,3,-83199,344390
011,,,,,柳林街道,3,-33750,85010
012,,,,,东海街道,3,-73710,-120620
013,,,,,梅江街道,3,70845,-475066
120104,,天津市,市辖区,南开区,,2,427534,-619729
001,,,,,长虹街道,3,341181,5315
002,,,,,鼓楼街道,3,-11940,309590
003,,,,,兴南街道,3,-134521,-71620
004,,,,,广开街道,3,93621,-101140
005,,,,,万兴街道,3,-152585,73620
006,,,,,学府街道,3,-75186,-77610
007,,,,,向阳路街道,3,258921,-349490
008,,,,,嘉陵道街道,3,-114911,58760
009,,,,,王顶堤街道,3,-245154,82013
010,,,,,水上公园街道,3,-72190,83987
011,,,,,体育中心街道,3,-274835,241760
012,,,,,华苑街道,3,178219,-512040
120105,,天津市,市辖区,河北区,,2,759672,874299
001,,,,,光复道街道,3,-145861,-47659
002,,,,,望海楼街道,3,139170,-15490
003,,,,,鸿顺里街道,3,-26370,-124240
004,,,,,新开河街道,3,172680,-113760
005,,,,,铁东路街道,3,133770,198380
006,,,,,建昌道街道,3,-180520,262610
007,,,,,宁园街道,3,-95471,-112740
008,,,,,王串场街道,3,-15470,104770
009,,,,,江都路街道,3,-26150,152630
010,,,,,月牙河街道,3,67201,21610
120106,,天津市,市辖区,红桥区,,2,24911,-863380
001,,,,,西于庄街道,3,-14286,17880
002,,,,,双环村街道,3,258390,-312310
003,,,,,咸阳北路街道,3,-58426,158970
004,,,,,丁字沽街道,3,-106249,175700
005,,,,,西沽街道,3,-107351,86130
006,,,,,三条石街道,3,-91520,-20800
008,,,,,邵公庄街道,3,-3360,-156070
009,,,,,芥园街道,3,-59774,105600
010,,,,,铃铛阁街道,3,-41835,-71550
011,,,,,大胡同街道,3,49650,149960
